# m	XGEMM		Naive
# m	Runtime(us)	stddev(us)	Runtime(us)	stddev(us)
1	3036.6	687.252311745839	0.0	0.0
2	6704.6	1835.9857679186948	1.0	0.0
3	6189.65	150.34070473428014	3.9	0.3
4	6084.2	217.53932977739913	7.9	0.43588989435406733
5	6344.55	831.6372691865125	15.95	0.739932429347437
6	6633.7	1388.9802770377985	27.15	0.653834841531101
7	6119.45	243.810269471981	41.75	0.9937303457175896
8	6134.1	43.639317134895684	62.15	0.47696960070847283
9	6110.5	127.28373816006506	88.5	2.179449471770337
10	6076.85	100.09858890114286	120.3	3.4510867853474805
