# m	XGEMM		Naive
# m	Runtime(us)	stddev(us)	Runtime(us)	stddev(us)
1	2796.08	478.3348550963016	
2	13997.94	4823.211591502077	
3	12714.04	2793.793621297035	3.6	0.692820323027551
4	12402.54	3413.619230142695	7.9	1.315294643796591
5	12512.26	2957.8839585757923	14.4	2.5922962793631443
6	12341.86	3300.820752540192	25.82	3.9531759384069907
7	11930.48	2810.0246421695306	39.6	6.20966987850401
8	13656.02	4124.172365408604	59.88	9.348026529701333
9	12028.08	2934.848792288966	79.86	13.391056717078007
10	12817.06	3333.4307757024144	113.22	16.926062743591615
20	13375.46	3561.469231707611	884.92	129.24160939883097
30	13872.16	4059.319496467356	2966.5	569.6374724331256
40	19625.04	6894.820905462303	7022.88	1032.7674983267048
50	21223.02	7776.332895369127	18311.36	8682.768152519102
60	27102.36	10134.87620005296	28616.76	8893.518908868411
70	31908.62	11669.36566894705	35744.04	4890.001509038622
80	34728.26	10854.9307520776	52605.3	7130.307034763649
90	39891.84	12918.565174755282	73533.66	13760.446714565627
100	47374.12	17347.1908857198	103690.66	19208.977181109876
200	54850.42	18875.095731773123	811711.14	114936.48862341497
300	59914.62	17461.217650427476	2755540.28	390313.8968181912
400	81821.9	22247.08399341361	6588802.04	842088.4305633454
500	98801.18	22969.52462171562	13007652.12	1563476.2472714784
600	113393.7	17954.51660530018	22623480.8	3167423.6174700223
700	128557.46	18615.330821889787	35450477.24	4499803.407850319
800	159304.8	25431.577246407665	55547810.3	6537412.047233951
900	190694.28	22864.411784290452	75683504.7	8371761.159655916
1000	226936.18	34803.833847258844	103185965.88	13309166.345816102
2000	1068597.8	113356.44987066241		
3000	3109909.9	428540.0584646551		
4000	6901157.5	1178584.1633664563		
5000	12645673.2	2346864.117359921		
6000	20939077.54	3934335.931092637		
7000	32560261.02	6097881.865230754		
# 8000	46842068.9	8594330.188545678		
# 9000	71068683.57894737	12749378.124097662		
